epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7876,1.45647,2.83622,1.34342,0.67965,0.62643,0.69239,0.40546,1.27196,2.16706,1.14234,0.000551962,0.000551962,0.000551962
2,147.499,1.4586,1.62154,1.35607,0.74966,0.6049,0.74829,0.4468,1.2983,1.82858,1.20322,0.00109666,0.00109666,0.00109666
3,221.124,1.47076,1.6004,1.36752,0.41134,0.62028,0.59251,0.19552,2.06727,4.54217,1.78423,0.00163036,0.00163036,0.00163036
4,288.791,1.41681,1.45831,1.35795,0.70818,0.58425,0.67194,0.42085,1.2188,2.45955,1.14769,0.00161749,0.00161749,0.00161749
5,352.567,1.38549,1.36611,1.32958,0.87074,0.71583,0.81479,0.46325,1.34983,1.05287,1.19403,0.00160099,0.00160099,0.00160099
6,417.328,1.32097,1.24398,1.29248,0.82355,0.6396,0.77201,0.38945,1.58275,1.32767,1.28695,0.00158448,0.00158448,0.00158448
7,481.656,1.32615,1.20748,1.30099,0.82598,0.73707,0.82436,0.36615,1.78926,1.11016,1.44552,0.00156798,0.00156798,0.00156798
8,546.75,1.23035,1.09264,1.24479,0.90027,0.83292,0.90212,0.53892,1.25824,1.4136,1.12278,0.00155148,0.00155148,0.00155148
9,612.981,1.27643,1.11001,1.25834,0.91833,0.87536,0.92295,0.50479,1.48894,0.74956,1.24096,0.00153497,0.00153497,0.00153497
10,678.658,1.21766,1.03815,1.23796,0.92159,0.86271,0.93223,0.64893,0.9847,0.69465,1.00981,0.00151847,0.00151847,0.00151847
11,748.686,1.18393,0.99865,1.21367,0.88209,0.79789,0.88136,0.62223,1.00624,0.74823,1.02188,0.00150197,0.00150197,0.00150197
12,815.529,1.17329,0.9747,1.21145,0.91764,0.87098,0.93999,0.67415,0.92799,0.62827,0.96379,0.00148546,0.00148546,0.00148546
13,883.084,1.17685,0.95365,1.21211,0.93577,0.89911,0.94633,0.61495,1.1616,0.69886,1.06135,0.00146896,0.00146896,0.00146896
14,951.416,1.13085,0.90652,1.18254,0.93383,0.85237,0.94514,0.65138,1.00268,0.92,0.99226,0.00145246,0.00145246,0.00145246
15,1018.32,1.11994,0.91798,1.16996,0.91331,0.83663,0.91818,0.64521,0.98376,0.66598,0.99006,0.00143595,0.00143595,0.00143595
16,1085.37,1.13758,0.91873,1.18073,0.79147,0.7101,0.78499,0.53026,1.12911,1.06956,1.09636,0.00141945,0.00141945,0.00141945
17,1152.4,1.10728,0.86668,1.16798,0.93951,0.87358,0.95134,0.6175,1.13771,0.61203,1.02492,0.00140295,0.00140295,0.00140295
18,1218.79,1.10564,0.85269,1.15942,0.93292,0.82154,0.91044,0.65179,0.93574,0.63918,0.95745,0.00138644,0.00138644,0.00138644
19,1286.94,1.06815,0.82611,1.14841,0.95319,0.91753,0.97122,0.68814,0.96094,0.52653,0.96123,0.00136994,0.00136994,0.00136994
20,1353.84,1.0579,0.83219,1.14598,0.97257,0.87456,0.95193,0.69621,0.87855,0.5461,0.9243,0.00135344,0.00135344,0.00135344
21,1422.4,1.07945,0.82414,1.15448,0.94648,0.93953,0.97423,0.7303,0.83152,0.48213,0.91989,0.00133693,0.00133693,0.00133693
22,1489.7,1.05129,0.82463,1.13634,0.92701,0.9305,0.96805,0.72402,0.85816,1.07389,0.94271,0.00132043,0.00132043,0.00132043
23,1556.91,1.03847,0.78674,1.13083,0.89555,0.87696,0.92773,0.65774,0.92954,0.61397,0.9855,0.00130393,0.00130393,0.00130393
24,1624.16,1.03732,0.78137,1.12684,0.94458,0.94516,0.97946,0.72539,0.84066,0.4765,0.91709,0.00128742,0.00128742,0.00128742
25,1690.81,1.03935,0.75479,1.12434,0.95205,0.91494,0.97118,0.7184,0.87619,0.47978,0.93015,0.00127092,0.00127092,0.00127092
26,1756.99,1.01983,0.77206,1.11869,0.95484,0.94736,0.97662,0.7356,0.77449,0.63455,0.90613,0.00125442,0.00125442,0.00125442
27,1823.94,1.01939,0.74684,1.11057,0.93532,0.92496,0.97004,0.71135,0.85287,0.5456,0.92713,0.00123791,0.00123791,0.00123791
28,1889.9,1.02411,0.74922,1.11947,0.95686,0.90001,0.96642,0.64524,1.1094,0.54062,1.01969,0.00122141,0.00122141,0.00122141
29,1956.72,1.02799,0.73041,1.11561,0.94673,0.9413,0.97866,0.75005,0.79242,0.55101,0.90777,0.00120491,0.00120491,0.00120491
30,2024.64,0.99247,0.72897,1.10146,0.93392,0.94088,0.97671,0.75757,0.74266,0.49979,0.89067,0.0011884,0.0011884,0.0011884
31,2092.78,0.99482,0.71906,1.10024,0.9588,0.93887,0.97879,0.76492,0.74198,0.56629,0.89808,0.0011719,0.0011719,0.0011719
32,2161.17,0.97445,0.69831,1.09603,0.95408,0.93979,0.98131,0.74117,0.83911,0.44849,0.91159,0.0011554,0.0011554,0.0011554
33,2228.36,0.96873,0.68943,1.09235,0.9562,0.96485,0.98789,0.78202,0.73709,0.71504,0.88932,0.00113889,0.00113889,0.00113889
34,2296.16,0.96816,0.69561,1.0908,0.96138,0.94318,0.97998,0.76211,0.76524,0.43692,0.89855,0.00112239,0.00112239,0.00112239
35,2364.43,0.97277,0.70226,1.08715,0.93511,0.9621,0.98022,0.75673,0.80379,0.78345,0.89634,0.00110589,0.00110589,0.00110589
36,2432.83,0.95755,0.66011,1.0839,0.92192,0.96344,0.98001,0.78447,0.70012,1.00526,0.88528,0.00108938,0.00108938,0.00108938
37,2500.16,0.95643,0.66537,1.08158,0.953,0.93154,0.97687,0.74488,0.80473,0.8487,0.91092,0.00107288,0.00107288,0.00107288
38,2568.16,0.96668,0.67544,1.08996,0.94084,0.97403,0.98576,0.76288,0.7722,0.8181,0.90291,0.00105638,0.00105638,0.00105638
39,2636.24,0.94102,0.65574,1.08019,0.96905,0.95217,0.98217,0.75701,0.78869,0.62178,0.89259,0.00103987,0.00103987,0.00103987
40,2704.95,0.94318,0.67267,1.07316,0.95532,0.97457,0.9835,0.77657,0.75152,0.51289,0.88505,0.00102337,0.00102337,0.00102337
41,2773.49,0.93077,0.6597,1.07632,0.97491,0.93284,0.97926,0.75737,0.79049,0.99452,0.89925,0.00100687,0.00100687,0.00100687
42,2841.26,0.93433,0.6436,1.06902,0.95264,0.96393,0.98613,0.76767,0.775,0.88591,0.89278,0.000990365,0.000990365,0.000990365
43,2908.39,0.92339,0.62297,1.0625,0.96106,0.97457,0.9894,0.76852,0.76596,0.65727,0.88917,0.000973861,0.000973861,0.000973861
44,2975.32,0.92332,0.63059,1.06588,0.96171,0.95332,0.98385,0.76769,0.77463,0.61809,0.88792,0.000957358,0.000957358,0.000957358
45,3043.11,0.92956,0.63927,1.07089,0.97224,0.95882,0.98436,0.7997,0.6802,0.8148,0.86999,0.000940855,0.000940855,0.000940855
46,3110.28,0.92373,0.63495,1.06698,0.95049,0.92897,0.97786,0.74876,0.81898,0.72972,0.90567,0.000924352,0.000924352,0.000924352
47,3178.79,0.89845,0.61616,1.0503,0.97478,0.93635,0.97858,0.75384,0.79206,0.51999,0.8976,0.000907848,0.000907848,0.000907848
48,3248.58,0.9049,0.61337,1.05973,0.96642,0.94914,0.9779,0.7697,0.74842,0.39707,0.88242,0.000891345,0.000891345,0.000891345
49,3318.92,0.90131,0.6033,1.05699,0.96883,0.97271,0.98426,0.77356,0.73909,0.78122,0.87497,0.000874842,0.000874842,0.000874842
50,3389.46,0.90884,0.60299,1.05045,0.97962,0.9797,0.9882,0.77801,0.72902,0.91751,0.87664,0.000858338,0.000858338,0.000858338
51,3458.94,0.88127,0.59917,1.04048,0.95439,0.98479,0.98958,0.79232,0.70099,0.6661,0.86641,0.000841835,0.000841835,0.000841835
52,3530.59,0.88313,0.58425,1.03663,0.94455,0.97748,0.98486,0.76015,0.75549,0.57709,0.87922,0.000825332,0.000825332,0.000825332
53,3599.16,0.90702,0.59739,1.06075,0.97707,0.95402,0.98714,0.78321,0.6979,0.47804,0.86485,0.000808828,0.000808828,0.000808828
54,3667.54,0.8852,0.57204,1.0438,0.95313,0.9678,0.98358,0.78007,0.72526,0.47248,0.87204,0.000792325,0.000792325,0.000792325
55,3735.4,0.86451,0.58424,1.03386,0.97446,0.97973,0.98343,0.77408,0.73824,0.66069,0.87085,0.000775822,0.000775822,0.000775822
56,3802.81,0.85664,0.55593,1.02644,0.97058,0.95178,0.98781,0.74619,0.82125,0.55441,0.89554,0.000759318,0.000759318,0.000759318
57,3868.25,0.88377,0.57743,1.04456,0.97807,0.95762,0.98948,0.78717,0.71871,0.80811,0.88289,0.000742815,0.000742815,0.000742815
58,3933.67,0.8761,0.58227,1.03815,0.95263,0.97532,0.98641,0.79142,0.70085,0.67916,0.86402,0.000726312,0.000726312,0.000726312
59,4002.89,0.86492,0.55924,1.03489,0.95257,0.96175,0.98773,0.79411,0.69139,0.80612,0.86476,0.000709809,0.000709809,0.000709809
60,4072.07,0.85762,0.55547,1.0295,0.96745,0.97398,0.98777,0.78994,0.70547,0.89983,0.86754,0.000693305,0.000693305,0.000693305
