epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2958,1.47275,2.94711,1.35176,0.85819,0.48157,0.63234,0.31329,1.65917,1.76534,1.43544,0.000551257,0.000551257,0.000551257
2,138.976,1.46116,1.62749,1.36115,0.59854,0.57149,0.56783,0.28163,1.80337,2.14764,1.54222,0.00109596,0.00109596,0.00109596
3,206.917,1.43685,1.53437,1.3671,0.70355,0.5247,0.66386,0.40594,1.39736,2.61026,1.34405,0.00162967,0.00162967,0.00162967
4,274.912,1.38531,1.37263,1.32792,0.72262,0.66326,0.74787,0.46184,1.42759,1.42845,1.3093,0.00161749,0.00161749,0.00161749
5,343.189,1.3446,1.27302,1.3014,0.80939,0.6433,0.75296,0.47794,1.37333,1.42758,1.30287,0.00160099,0.00160099,0.00160099
6,412.229,1.30215,1.20805,1.30284,0.84077,0.7646,0.85649,0.57088,1.22433,1.3083,1.22061,0.00158448,0.00158448,0.00158448
7,480.58,1.26267,1.12324,1.26088,0.8415,0.80788,0.90008,0.58384,1.20751,0.92648,1.2012,0.00156798,0.00156798,0.00156798
8,549.133,1.24701,1.09376,1.24676,0.85937,0.78415,0.86244,0.51176,1.42427,0.95417,1.27055,0.00155148,0.00155148,0.00155148
9,616.696,1.20725,1.10004,1.21504,0.80637,0.72377,0.81276,0.43724,1.6734,1.1162,1.41626,0.00153497,0.00153497,0.00153497
10,686.078,1.20209,1.00201,1.23,0.89402,0.85776,0.90878,0.59799,1.25003,0.82651,1.22244,0.00151847,0.00151847,0.00151847
11,755.905,1.17242,1.01609,1.21196,0.9046,0.83395,0.91121,0.61963,1.16248,0.84351,1.16696,0.00150197,0.00150197,0.00150197
12,824.107,1.17726,0.9727,1.21367,0.88249,0.85672,0.91653,0.57751,1.31145,0.84647,1.25226,0.00148546,0.00148546,0.00148546
13,893.016,1.17147,0.94636,1.21978,0.87481,0.90232,0.93758,0.65895,1.10489,0.68979,1.11172,0.00146896,0.00146896,0.00146896
14,963.231,1.15672,0.95152,1.18996,0.895,0.89942,0.93951,0.67985,1.02179,0.66605,1.09956,0.00145246,0.00145246,0.00145246
15,1032.92,1.13566,0.91643,1.19094,0.85415,0.84536,0.8755,0.6019,1.16846,1.04719,1.18336,0.00143595,0.00143595,0.00143595
16,1101.95,1.11207,0.88787,1.1717,0.91481,0.87685,0.93047,0.66374,1.06095,0.74917,1.09872,0.00141945,0.00141945,0.00141945
17,1170.9,1.12161,0.8427,1.16449,0.90776,0.91562,0.95094,0.66661,1.11794,0.63224,1.13912,0.00140295,0.00140295,0.00140295
18,1239.51,1.08636,0.84557,1.15759,0.91571,0.86017,0.93964,0.67263,1.0529,0.67025,1.11258,0.00138644,0.00138644,0.00138644
19,1309.1,1.07757,0.80565,1.14364,0.9146,0.8614,0.93344,0.68729,1.02887,0.70379,1.11424,0.00136994,0.00136994,0.00136994
20,1379.21,1.09993,0.82892,1.15498,0.94212,0.84363,0.9426,0.67738,1.01591,0.68515,1.1163,0.00135344,0.00135344,0.00135344
21,1448.46,1.05397,0.80198,1.14743,0.90897,0.92559,0.95532,0.70526,0.98428,0.61163,1.08339,0.00133693,0.00133693,0.00133693
22,1516.15,1.0373,0.76811,1.12953,0.89691,0.94283,0.96063,0.70936,0.96607,0.59721,1.08227,0.00132043,0.00132043,0.00132043
23,1583.48,1.03807,0.7614,1.12328,0.94136,0.91772,0.96054,0.69418,1.00379,0.60512,1.09204,0.00130393,0.00130393,0.00130393
24,1650.93,1.05547,0.7827,1.13751,0.93713,0.89243,0.94838,0.688,1.00588,0.61408,1.11098,0.00128742,0.00128742,0.00128742
25,1715.09,1.02926,0.76045,1.12757,0.94067,0.93597,0.96349,0.71133,0.97954,0.57209,1.10643,0.00127092,0.00127092,0.00127092
26,1777.85,1.0223,0.74489,1.11554,0.9202,0.9342,0.95897,0.71406,0.9447,0.59193,1.05362,0.00125442,0.00125442,0.00125442
27,1835.24,0.99215,0.71277,1.11194,0.90811,0.93229,0.95994,0.67644,1.07948,0.6163,1.10662,0.00123791,0.00123791,0.00123791
28,1892.83,1.04546,0.73481,1.13464,0.88518,0.84484,0.91454,0.67755,1.00263,0.81876,1.14863,0.00122141,0.00122141,0.00122141
29,1953.21,1.01748,0.7368,1.12858,0.91655,0.93966,0.96355,0.71201,0.95224,0.5743,1.07286,0.00120491,0.00120491,0.00120491
