epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2018.8,0.97644,0.69846,1.08455,0.93014,0.91867,0.95296,0.71143,0.93347,0.56736,1.05613,0.0011884,0.0011884,0.0011884
31,2084.04,1.0005,0.72059,1.10455,0.93672,0.92701,0.95713,0.7188,0.93068,0.56363,1.06826,0.0011719,0.0011719,0.0011719
32,2147.88,0.97811,0.69705,1.09953,0.94099,0.90381,0.95562,0.71752,0.92939,0.57936,1.07638,0.0011554,0.0011554,0.0011554
33,2209.77,0.98524,0.69601,1.10488,0.93752,0.95744,0.96914,0.72487,0.9754,0.52913,1.08359,0.00113889,0.00113889,0.00113889
34,2274.2,0.9599,0.67448,1.08344,0.92262,0.9422,0.96904,0.74636,0.86422,0.5111,1.03755,0.00112239,0.00112239,0.00112239
35,2340.82,0.98562,0.68555,1.09586,0.89922,0.90764,0.93668,0.70137,0.98043,0.60976,1.06259,0.00110589,0.00110589,0.00110589
36,2407.55,0.94948,0.64927,1.07286,0.94997,0.92335,0.96643,0.75121,0.88865,0.51329,1.04273,0.00108938,0.00108938,0.00108938
37,2473.89,0.95048,0.68173,1.09032,0.90524,0.94229,0.96638,0.74031,0.88841,0.55025,1.04566,0.00107288,0.00107288,0.00107288
38,2540.18,0.94849,0.65172,1.0779,0.94791,0.93098,0.96389,0.73813,0.90073,0.52898,1.04962,0.00105638,0.00105638,0.00105638
39,2606.65,0.94028,0.64945,1.0786,0.93104,0.93271,0.95879,0.7477,0.85794,0.5168,1.03364,0.00103987,0.00103987,0.00103987
40,2673.19,0.9438,0.64885,1.07626,0.93042,0.96165,0.97058,0.75921,0.81663,0.46263,1.02118,0.00102337,0.00102337,0.00102337
41,2739.54,0.96797,0.67125,1.10453,0.93772,0.92217,0.97008,0.75487,0.86976,0.50204,1.03933,0.00100687,0.00100687,0.00100687
42,2806.16,0.93346,0.64393,1.07284,0.94782,0.93618,0.97444,0.76329,0.8418,0.49635,1.03779,0.000990365,0.000990365,0.000990365
43,2873.08,0.94134,0.64938,1.06987,0.9414,0.94919,0.9729,0.74836,0.89556,0.46708,1.03336,0.000973861,0.000973861,0.000973861
44,2939.19,0.89116,0.60229,1.04267,0.9596,0.93989,0.9729,0.77855,0.80557,0.45647,1.02409,0.000957358,0.000957358,0.000957358
45,3005.68,0.92185,0.62821,1.06882,0.94805,0.91986,0.96348,0.74923,0.84612,0.50053,1.02423,0.000940855,0.000940855,0.000940855
46,3071.59,0.89855,0.61661,1.04904,0.94136,0.95383,0.96848,0.75209,0.87955,0.47237,1.03472,0.000924352,0.000924352,0.000924352
47,3138.19,0.88647,0.58829,1.04706,0.95732,0.95224,0.97038,0.75325,0.88033,0.4655,1.04471,0.000907848,0.000907848,0.000907848
48,3204.2,0.88437,0.59197,1.04316,0.93462,0.95016,0.96626,0.74704,0.88596,0.48294,1.04438,0.000891345,0.000891345,0.000891345
49,3269.07,0.89703,0.58481,1.04774,0.94709,0.95016,0.97242,0.74963,0.86307,0.45604,1.03274,0.000874842,0.000874842,0.000874842
50,3325.66,0.88042,0.57548,1.04383,0.94681,0.92038,0.96791,0.75333,0.81555,0.48406,1.0252,0.000858338,0.000858338,0.000858338
51,3383.78,0.89392,0.59013,1.04992,0.95095,0.92594,0.97114,0.74417,0.89396,0.47842,1.04553,0.000841835,0.000841835,0.000841835
52,3442.07,0.89356,0.59547,1.05578,0.96384,0.91524,0.97606,0.76619,0.82661,0.47028,1.02512,0.000825332,0.000825332,0.000825332
53,3499.4,0.8932,0.56421,1.05624,0.93762,0.95432,0.97451,0.74855,0.87632,0.46081,1.04186,0.000808828,0.000808828,0.000808828
54,3556.8,0.86278,0.55716,1.03472,0.96083,0.94539,0.97577,0.75511,0.86419,0.43722,1.03257,0.000792325,0.000792325,0.000792325
55,3613.99,0.88058,0.57549,1.05856,0.95732,0.9541,0.97629,0.76959,0.83362,0.44786,1.01157,0.000775822,0.000775822,0.000775822
56,3670.99,0.86737,0.569,1.04401,0.95244,0.95774,0.97479,0.77142,0.8446,0.42201,1.02473,0.000759318,0.000759318,0.000759318
57,3728.89,0.85529,0.55084,1.03592,0.95787,0.92743,0.96638,0.77044,0.79617,0.48105,1.00817,0.000742815,0.000742815,0.000742815
58,3786.42,0.86932,0.53774,1.02886,0.97385,0.92541,0.97514,0.77628,0.8237,0.44249,1.0249,0.000726312,0.000726312,0.000726312
59,3844.32,0.86143,0.54652,1.03525,0.96056,0.94554,0.96925,0.76179,0.86378,0.4637,1.03984,0.000709809,0.000709809,0.000709809
