epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0212,1.25835,3.01879,1.21816,0.85542,0.59509,0.70354,0.4754,1.231,1.45338,1.26691,0.000549352,0.000549352,0.000549352
2,81.8776,1.25139,1.31359,1.22246,0.55474,0.15333,0.15052,0.07376,2.72318,3.35651,2.83214,0.00105032,0.00105032,0.00105032
3,117.633,1.28098,1.22134,1.23227,0.55614,0.52623,0.52798,0.35664,1.20744,2.93526,1.25389,0.00149628,0.00149628,0.00149628
4,153.704,1.2528,1.14808,1.21364,0.76583,0.51404,0.57524,0.35477,1.60725,1.94813,1.42391,0.00141945,0.00141945,0.00141945
5,189.894,1.22245,1.05802,1.18999,0.74163,0.72978,0.78986,0.46196,1.44406,1.40464,1.32919,0.00133693,0.00133693,0.00133693
6,226.087,1.16767,0.96636,1.15913,0.89892,0.81802,0.86935,0.55846,1.3434,1.01717,1.21565,0.00125442,0.00125442,0.00125442
7,263.99,1.14101,0.89182,1.14576,0.83639,0.72691,0.86285,0.54824,1.31229,1.8306,1.21585,0.0011719,0.0011719,0.0011719
8,300.709,1.10604,0.84103,1.11432,0.89544,0.87075,0.92141,0.57476,1.34551,0.80736,1.22541,0.00108938,0.00108938,0.00108938
9,336.639,1.05667,0.76188,1.10666,0.76296,0.82366,0.83487,0.54181,1.25173,0.89938,1.18114,0.00100687,0.00100687,0.00100687
10,373.575,1.0686,0.76799,1.10955,0.88853,0.8586,0.92962,0.65102,1.11663,0.71852,1.1181,0.000924352,0.000924352,0.000924352
11,411.326,0.97553,0.71744,1.09213,0.88333,0.87162,0.91583,0.61899,1.15896,0.77926,1.12084,0.000841835,0.000841835,0.000841835
12,447.648,0.9532,0.63912,1.0726,0.91895,0.84898,0.91246,0.623,1.12353,0.73189,1.12656,0.000759318,0.000759318,0.000759318
13,482.626,0.97321,0.62576,1.08528,0.8642,0.85193,0.90949,0.617,1.09721,0.72171,1.11695,0.000676802,0.000676802,0.000676802
14,517.639,0.90039,0.59189,1.0478,0.94798,0.82632,0.9323,0.66623,1.0391,0.65179,1.07238,0.000594286,0.000594286,0.000594286
15,554.762,0.88226,0.56037,1.04126,0.93049,0.91404,0.94203,0.65071,1.10459,0.62533,1.09027,0.000511769,0.000511769,0.000511769
16,592.117,0.86955,0.53236,1.03729,0.93393,0.9007,0.93872,0.67096,1.09264,0.56307,1.0837,0.000429253,0.000429253,0.000429253
17,628.44,0.83234,0.50529,1.01564,0.92814,0.92826,0.95063,0.6766,1.06354,0.5682,1.09315,0.000346736,0.000346736,0.000346736
18,664.878,0.82399,0.4944,1.01674,0.93386,0.93217,0.9544,0.69739,1.00191,0.52037,1.05585,0.00026422,0.00026422,0.00026422
19,701.56,0.78604,0.46936,0.99743,0.92382,0.93144,0.95253,0.70732,0.99946,0.52318,1.03612,0.000181703,0.000181703,0.000181703
20,737.932,0.76187,0.44387,0.99282,0.93421,0.90889,0.95439,0.73519,0.88102,0.49845,1.00139,9.91865e-05,9.91865e-05,9.91865e-05
