epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4668,1.26504,3.10172,1.23005,0.76144,0.56175,0.66382,0.41751,1.32457,1.61295,1.23926,0.000549352,0.000549352,0.000549352
2,84.379,1.25386,1.2873,1.21112,0.69883,0.46596,0.56631,0.35566,1.49361,1.98806,1.46813,0.00107376,0.00107376,0.00107376
3,120.848,1.27062,1.17969,1.23919,0.84842,0.5757,0.81931,0.50264,1.34401,1.69902,1.25227,0.00156674,0.00156674,0.00156674
4,157.03,1.25234,1.13113,1.21288,0.31951,0.41088,0.32325,0.20945,1.51055,3.48895,1.50329,0.00152554,0.00152554,0.00152554
5,193.283,1.21019,1.04848,1.19755,0.80039,0.59391,0.70075,0.37419,1.66103,4.02794,1.46649,0.00147839,0.00147839,0.00147839
6,229.342,1.21455,1.03366,1.20553,0.79647,0.70591,0.79861,0.53479,1.2148,1.21252,1.21245,0.00143124,0.00143124,0.00143124
