epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.6435,1.39854,2.89983,1.32343,0.7878,0.65721,0.76128,0.43236,1.53918,1.52923,1.40303,0.000551257,0.000551257,0.000551257
2,142.075,1.41239,1.46873,1.34878,0.72113,0.5506,0.644,0.36419,1.59211,1.59432,1.40099,0.00108257,0.00108257,0.00108257
3,209.655,1.40448,1.41739,1.35317,0.67104,0.53287,0.57598,0.26486,1.81483,1.96997,1.52777,0.00158944,0.00158944,0.00158944
4,274.435,1.3667,1.34694,1.31902,0.64492,0.70013,0.7727,0.48362,1.21775,1.31995,1.23305,0.00155698,0.00155698,0.00155698
