epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2253,1.04374,4.65775,1.16432,0.86702,0.32301,0.66946,0.49221,1.00126,2.89246,1.07603,0.00054889,0.00054889,0.00054889
2,83.1224,1.03993,3.06112,1.1324,0.77197,0.46266,0.55168,0.37743,1.12413,3.37243,1.33194,0.00106811,0.00106811,0.00106811
3,110.471,1.06772,2.32473,1.16534,0.73524,0.71227,0.78001,0.59373,0.95119,1.59968,1.03712,0.00155065,0.00155065,0.00155065
4,138.247,1.04826,1.72018,1.15268,0.82432,0.62386,0.79602,0.61085,0.88355,1.28712,0.98216,0.00150197,0.00150197,0.00150197
5,166.491,0.99625,1.35233,1.12478,0.88364,0.89061,0.94318,0.73735,0.82934,0.90895,1.03035,0.00144696,0.00144696,0.00144696
6,194.356,0.94851,1.14965,1.10055,0.91686,0.9061,0.95878,0.76059,0.8184,0.81389,1.01552,0.00139195,0.00139195,0.00139195
7,222.988,0.9165,0.9938,1.09802,0.78287,0.76296,0.88548,0.69489,0.80383,1.13244,0.95137,0.00133693,0.00133693,0.00133693
8,250.025,0.88379,0.92198,1.07129,0.96283,0.88893,0.94995,0.76051,0.78541,0.70313,1.029,0.00128192,0.00128192,0.00128192
9,277.735,0.91304,0.90143,1.07848,0.93973,0.95075,0.97901,0.79792,0.73622,0.62147,0.94903,0.00122691,0.00122691,0.00122691
10,304.886,0.88736,0.83437,1.07654,0.93643,0.96615,0.98279,0.7905,0.78163,0.55729,0.98241,0.0011719,0.0011719,0.0011719
11,333.718,0.83954,0.75897,1.04059,0.92617,0.86028,0.94091,0.74405,0.79375,0.719,0.96617,0.00111689,0.00111689,0.00111689
12,360.403,0.8318,0.74009,1.03022,0.9022,0.94869,0.97552,0.81124,0.69648,0.54979,0.92785,0.00106188,0.00106188,0.00106188
13,386.864,0.82245,0.73367,1.03823,0.95012,0.92614,0.95917,0.81322,0.68169,0.58559,0.92691,0.00100687,0.00100687,0.00100687
14,412.552,0.79622,0.68691,1.0255,0.96383,0.9187,0.96031,0.79686,0.72351,0.56833,0.94791,0.000951857,0.000951857,0.000951857
15,438.32,0.78977,0.66649,1.02514,0.9519,0.92272,0.98487,0.83398,0.65864,0.51102,0.92288,0.000896846,0.000896846,0.000896846
16,463.784,0.77211,0.64405,1.01195,0.9522,0.95837,0.98635,0.82366,0.71071,0.52902,0.94223,0.000841835,0.000841835,0.000841835
17,489.697,0.75737,0.62245,0.99782,0.95428,0.94678,0.98534,0.82209,0.67986,0.52652,0.93234,0.000786824,0.000786824,0.000786824
18,519.619,0.75071,0.61139,1.00086,0.93,0.97951,0.98666,0.83795,0.66266,0.46952,0.91371,0.000731813,0.000731813,0.000731813
19,550.777,0.75903,0.59235,1.0022,0.92505,0.9536,0.981,0.82461,0.65936,0.5112,0.92127,0.000676802,0.000676802,0.000676802
20,581.876,0.73306,0.57094,0.99571,0.96574,0.92055,0.98016,0.84057,0.64016,0.47617,0.90914,0.000621791,0.000621791,0.000621791
