epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5373,1.25835,3.01879,1.21816,0.85542,0.59509,0.70354,0.4754,1.231,1.45338,1.26691,0.000549352,0.000549352,0.000549352
2,85.7739,1.24995,1.31748,1.22244,0.60963,0.19051,0.24445,0.12114,1.72897,16.5978,1.52713,0.00107376,0.00107376,0.00107376
3,123.286,1.29359,1.24486,1.25371,0.70133,0.49228,0.53546,0.32819,1.3325,5.77297,1.3586,0.00156674,0.00156674,0.00156674
4,159.989,1.26322,1.13842,1.22368,0.78264,0.59368,0.69021,0.45613,1.29005,1.98932,1.24907,0.00152554,0.00152554,0.00152554
5,200.924,1.22054,1.03749,1.20169,0.81054,0.76151,0.83322,0.4594,1.56548,1.20388,1.41586,0.00147839,0.00147839,0.00147839
6,251.928,1.19296,0.98619,1.18498,0.7562,0.74667,0.80098,0.49678,1.33924,1.21923,1.23868,0.00143124,0.00143124,0.00143124
7,303.863,1.17738,0.93952,1.17803,0.85637,0.81712,0.90255,0.57094,1.32819,1.39998,1.21913,0.00138409,0.00138409,0.00138409
8,351.107,1.15086,0.89604,1.15144,0.86002,0.87193,0.88983,0.55306,1.3448,0.85397,1.20832,0.00133693,0.00133693,0.00133693
9,395.622,1.09669,0.82748,1.13383,0.8945,0.8049,0.89135,0.57767,1.29402,0.91444,1.19132,0.00128978,0.00128978,0.00128978
10,442.563,1.10852,0.832,1.14766,0.84069,0.75684,0.81533,0.53681,1.22029,1.0803,1.17875,0.00124263,0.00124263,0.00124263
11,489.162,1.05268,0.75537,1.10625,0.83751,0.87736,0.89102,0.56975,1.34458,0.8198,1.1884,0.00119548,0.00119548,0.00119548
12,535.685,1.04861,0.772,1.10439,0.78225,0.77097,0.8154,0.45913,1.42588,1.13712,1.27396,0.00114832,0.00114832,0.00114832
13,581.778,1.03715,0.73588,1.11441,0.82232,0.90105,0.90931,0.62183,1.25601,0.79264,1.18274,0.00110117,0.00110117,0.00110117
14,627.869,1.02958,0.72696,1.10218,0.73402,0.73147,0.79202,0.55158,1.07288,1.10288,1.12852,0.00105402,0.00105402,0.00105402
15,675.625,0.98061,0.70355,1.07543,0.86151,0.89696,0.92252,0.60707,1.22538,0.70771,1.17353,0.00100687,0.00100687,0.00100687
16,722.982,0.95784,0.67438,1.06491,0.87925,0.86001,0.9208,0.65581,0.99873,0.70709,1.11593,0.000959716,0.000959716,0.000959716
17,767.664,0.96658,0.67952,1.07689,0.90814,0.85053,0.90597,0.67278,0.96337,0.69636,1.06988,0.000912563,0.000912563,0.000912563
18,815.496,0.93779,0.63081,1.04605,0.93547,0.87333,0.94498,0.67338,1.01316,0.6131,1.07576,0.000865411,0.000865411,0.000865411
19,862.997,0.93251,0.63124,1.06285,0.92869,0.86807,0.94514,0.71627,0.89136,0.61782,1.04485,0.000818259,0.000818259,0.000818259
20,910.565,0.89046,0.6019,1.03755,0.92147,0.92842,0.95054,0.70901,0.96309,0.59233,1.0692,0.000771107,0.000771107,0.000771107
21,957.7,0.90272,0.59115,1.04636,0.92532,0.90737,0.95362,0.72935,0.90826,0.55661,1.03466,0.000723954,0.000723954,0.000723954
22,1005.49,0.87997,0.59294,1.03021,0.93219,0.86624,0.94119,0.69603,1.02196,0.61125,1.08106,0.000676802,0.000676802,0.000676802
23,1047.62,0.87254,0.56454,1.02834,0.92316,0.92607,0.95341,0.7319,0.89508,0.54305,1.03446,0.00062965,0.00062965,0.00062965
24,1090.16,0.85661,0.56,1.01234,0.91483,0.93649,0.95543,0.73946,0.84189,0.52477,1.02338,0.000582497,0.000582497,0.000582497
25,1132.77,0.8395,0.54962,1.00695,0.88565,0.95766,0.95327,0.70756,0.9513,0.54202,1.0367,0.000535345,0.000535345,0.000535345
26,1173.49,0.80642,0.51572,1.01299,0.94327,0.91158,0.95713,0.73344,0.85844,0.51425,1.02832,0.000488193,0.000488193,0.000488193
27,1214.74,0.78712,0.47467,1.00509,0.93062,0.89618,0.94178,0.73303,0.82326,0.55832,1.02065,0.000441041,0.000441041,0.000441041
28,1255.59,0.78239,0.46171,0.99763,0.90395,0.93368,0.94238,0.71715,0.90359,0.5382,1.03976,0.000393888,0.000393888,0.000393888
29,1297.51,0.74866,0.45718,0.97868,0.88519,0.93225,0.94778,0.74674,0.86293,0.53442,1.00848,0.000346736,0.000346736,0.000346736
30,1332.84,0.73751,0.42736,0.97286,0.92556,0.91721,0.95385,0.74061,0.86241,0.50046,1.00219,0.000299584,0.000299584,0.000299584
31,1367.72,0.7359,0.42973,0.97858,0.90117,0.93967,0.9589,0.75408,0.8524,0.49892,1.00963,0.000252431,0.000252431,0.000252431
32,1403.14,0.71464,0.41598,0.96988,0.9265,0.91462,0.95092,0.75756,0.77539,0.49924,0.97881,0.000205279,0.000205279,0.000205279
33,1439.35,0.70436,0.40627,0.95652,0.89551,0.94316,0.95181,0.75529,0.819,0.50628,0.99372,0.000158127,0.000158127,0.000158127
34,1477.58,0.70006,0.40024,0.95879,0.92778,0.92486,0.95013,0.75735,0.78843,0.48498,0.98425,0.000110975,0.000110975,0.000110975
35,1515.98,0.67768,0.38396,0.96289,0.9253,0.92449,0.95371,0.76434,0.80028,0.49582,0.9859,6.38223e-05,6.38223e-05,6.38223e-05
