epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0682,1.03356,3.1399,1.12966,0.72428,0.68114,0.74191,0.55552,0.93204,1.44211,1.17641,0.00054889,0.00054889,0.00054889
2,88.9185,1.04552,1.15889,1.09905,0.78378,0.73058,0.77787,0.56829,1.02713,1.92335,1.19645,0.00104988,0.00104988,0.00104988
3,132.661,1.0903,1.09018,1.11623,0.1251,0.13682,0.03852,0.01982,2.37952,5.7726,2.7346,0.00149586,0.00149586,0.00149586
4,176.403,1.07463,1.07364,1.12477,0.85536,0.59704,0.73276,0.55543,0.91679,1.21685,1.11837,0.00141945,0.00141945,0.00141945
5,219.713,1.01043,0.92377,1.09059,0.80238,0.8366,0.92537,0.7049,0.91629,1.00554,1.11873,0.00133693,0.00133693,0.00133693
6,264.353,0.97832,0.87145,1.07154,0.81367,0.79091,0.87531,0.64957,0.94892,0.95552,1.12162,0.00125442,0.00125442,0.00125442
7,307.981,0.95927,0.8181,1.06478,0.90938,0.93512,0.96702,0.75785,0.82589,0.66751,1.09053,0.0011719,0.0011719,0.0011719
8,351.636,0.9252,0.80882,1.03987,0.85444,0.92004,0.94245,0.77888,0.73961,0.63114,1.03269,0.00108938,0.00108938,0.00108938
9,395.067,0.8747,0.69539,1.01318,0.93501,0.95981,0.9735,0.78132,0.79758,0.63041,1.0392,0.00100687,0.00100687,0.00100687
10,438.69,0.90298,0.69974,1.04511,0.94257,0.91614,0.9694,0.78284,0.74844,0.54136,1.02181,0.000924352,0.000924352,0.000924352
11,481.347,0.8334,0.61806,1.02783,0.96637,0.90182,0.9743,0.8039,0.70764,0.5212,1.02817,0.000841835,0.000841835,0.000841835
12,523.985,0.79776,0.58315,1.00666,0.96213,0.90469,0.95654,0.77809,0.73211,0.57855,1.00484,0.000759318,0.000759318,0.000759318
13,566.795,0.78266,0.5731,0.99882,0.99413,0.91399,0.98694,0.82797,0.68001,0.43064,1.00122,0.000676802,0.000676802,0.000676802
14,609.379,0.75228,0.52104,0.97899,0.96115,0.92393,0.97856,0.81549,0.69336,0.44741,1.01227,0.000594286,0.000594286,0.000594286
15,652.079,0.73334,0.50655,0.9773,0.95399,0.95023,0.97945,0.81775,0.67799,0.47364,0.99378,0.000511769,0.000511769,0.000511769
16,694.713,0.71961,0.47731,0.966,0.94603,0.96023,0.98303,0.82783,0.66218,0.4249,0.98861,0.000429253,0.000429253,0.000429253
17,736.827,0.70543,0.4695,0.9614,0.9,0.94757,0.97246,0.8192,0.63981,0.4484,0.97252,0.000346736,0.000346736,0.000346736
18,779.044,0.68764,0.44577,0.95,0.93334,0.96023,0.98391,0.84547,0.62349,0.40165,0.96661,0.00026422,0.00026422,0.00026422
19,821.464,0.67194,0.42501,0.95132,0.94051,0.94938,0.98463,0.85786,0.60108,0.38942,0.9504,0.000181703,0.000181703,0.000181703
20,864.989,0.6281,0.39718,0.92315,0.95358,0.94318,0.98649,0.85025,0.60819,0.37317,0.94888,9.91865e-05,9.91865e-05,9.91865e-05
