epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6889,1.08179,3.14853,1.08646,0.68832,0.06905,0.52783,0.40119,0.86989,2.7938,0.97363,0.00054889,0.00054889,0.00054889
2,38.4537,1.0448,1.96436,1.08263,0.85048,0.66256,0.81373,0.57976,0.99995,1.86398,1.16564,0.00106811,0.00106811,0.00106811
3,52.2335,1.0578,1.66313,1.1125,0.5413,0.60726,0.57198,0.42434,1.01784,1.6109,1.1367,0.00155065,0.00155065,0.00155065
