epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9901,1.00493,2.88289,1.11419,0.76491,0.68295,0.76622,0.56003,1.0121,1.33691,1.16408,0.00054889,0.00054889,0.00054889
2,95.8898,1.08833,1.30329,1.14131,0.15496,0.40864,0.13688,0.06277,1.57187,35.7641,1.83814,0.00106811,0.00106811,0.00106811
3,140.127,1.08951,1.16545,1.11901,0.36361,0.6825,0.38523,0.27234,1.10456,36.4249,1.284,0.00155065,0.00155065,0.00155065
4,181.367,1.09618,1.04431,1.12419,0.73678,0.75818,0.78822,0.58097,0.94703,1.32035,1.1262,0.00150197,0.00150197,0.00150197
5,224.676,1.03048,0.93295,1.10151,0.83019,0.83425,0.91781,0.6969,0.92896,1.02272,1.13835,0.00144696,0.00144696,0.00144696
6,267.871,0.96473,0.90115,1.0576,0.8929,0.83871,0.91458,0.7076,0.88834,0.82567,1.12418,0.00139195,0.00139195,0.00139195
7,309.854,0.96706,0.85301,1.06276,0.92374,0.86773,0.94632,0.75988,0.79926,0.7419,1.03744,0.00133693,0.00133693,0.00133693
8,353.167,0.9555,0.80716,1.05229,0.92021,0.88665,0.95908,0.75869,0.7536,0.76849,1.04197,0.00128192,0.00128192,0.00128192
9,396.283,0.90194,0.77031,1.03961,0.89163,0.85183,0.93316,0.75044,0.79973,0.68828,1.0615,0.00122691,0.00122691,0.00122691
